1	239	EAST	2
102	90	HIST	3
106	188	PSYC	2
108	105	HIST	1
110	62	PSYC	3
111	153	PEAC	2
115	97	ANTH	1
118	110	ENGL	2
12	68	ARTS	2
121	41	WRPR	1
123	170	SOCL	2
124	297	ASTR	2
127	127	WRPR	1
128	87	PSYC	3
129	118	ARTS	1
132	320	CSTS	2
133	27	PSYC	3
134	160	ENVS	2
136	132	ANTH	3
140	311	ARTS	2
144	165	ARTT	2
147	73	ICPR	3
149	292	CNSE	2
15	22	ECON	1
158	71	EAST	2
160	2	ICPR	2
160L	2	ICPR	2
163	82	ENGL	2
165	105	HIST	3
17	108	HIST	3
172	257	SPAN	1
175	166	ECON	3
177	17	RELG	2
180	48	GREK	0
181	18	SPAN	3
184	76	FREN	1
188	39	ASTR	3
19	160	ANTH	2
192	26	BIOL	1
194	292	LING	3
197	11	PEAC	3
199	239	HIST	2
202	167	CMSC	1
204	54	PSYC	2
209	230	POLS	1
21	72	LING	1
213	282	CMSC	3
214	241	PHIL	3
217	146	CNSE	0
22	122	PHYS	3
222	195	POLS	3
223	170	SOCL	3
224	18	SPAN	2
228	237	PHIL	2
235	195	POLS	2
236	74	LATN	0
238	232	POLS	2
239	133	MUSC	1
24	23	ECON	3
240	329	FREN	3
244	320	GREK	2
249	133	MUSC	3
251	230	POLS	3
253	146	CNSE	1
26	113	WRPR	1
267	116	POLS	1
268	54	PSYC	3
27	151	ANTH	2
276	186	MUSC	2
277	272	RELG	2
28	145	POLS	3
282	122	PHYS	2
283	71	SOCL	3
29	215	ECON	2
290	153	PHIL	3
292	316	SOCL	4
295	145	POLS	1
297	172	FREN	0
3	99	MUSC	1
302	192	BIOL	3
305	67	ENGL	2
308	304	MATH	2
309	300	HIST	1
310	199	BIOL	3
311	241	PHIL	2
312	237	PHIL	3
313	188	PSYC	1
315	232	POLS	2
318	269	MUSC	1
319	238	MUSC	2
321	276	MUSC	1
322	13	PHYS	1
322L		PHYS	1
323	44	GERM	0
324	189	PHIL	3
325	48	LATN	1
327	98	RELG	2
328	212	HIST	2
33	212	HIST	1
333	325	BIOL	3
333L		BIOL	3
336	28	WRPR	1
341	257	SPAN	2
344	248	PSYC	2
347	19	HIST	2
350	88	POLS	2
352	182	RELG	2
355	83	WRPR	1
359	137	CHEM	1
359L	190	CHEM	1
36	17	RELG	3
360	124	ENGL	3
363	189	PHIL	1
365	192	BIOL	3
370	318	ENGL	2
374	168	ITAL	0
375	185	ARTS	3
377	323	RELG	3
378	207	MATH	3
385	245	MUSC	1
386	201	PEAC	2
388	15	ENVS	2
39	317	HIST	2
395	241	PHIL	3
396	330	SPAN	3
399	293	MATH	2
4	151	CSTS	2
401	14	JNSE	0
406	317	HIST	3
407	239	EAST	2
408	21	POLS	2
411	56	PHYS	3
412	27	BIOL	2
416	169	RELG	1
432	54	PSYC	3
433	61	ENGL	2
436	297	PHYS	3
437	132	ANTH	2
438	323	RELG	2
439	61	WRPR	1
440	171	ENGL	3
442	300	HIST	2
443	90	HIST	2
444	75	MUSC	2
445	88	POLS	1
45	179	PSYC	2
454	290	ENGL	2
457	46	WRPR	1
458	276	MUSC	2
459	7	ARAB	0
460	71	SOCL	1
462	238	MUSC	3
466	266	RELG	2
474	189	PHIL	2
476	254	WRPR	1
477	233	ECON	3
478	33	MATH	2
479	329	FREN	1
481	259	ECON	3
482	294	GERM	3
483	218	ENGL	2
484	30	JNSE	0
487	78	ANTH	2
489	43	ICPR	3
492	101	POLS	3
495	29	SPAN	3
5	251	STAT	3
500	137	CHEM	3
502	259	ECON	2
514	292	LING	1
